log_var,lab_var,num_wells,avg_r,avg_abs_r,wells_found_in
Log_K,Lab_XRF_Al,2,0.407457513126687,0.407457513126687,"['HRDH_1119', 'HRDH_697']"
Log_WTBH,Lab_XRD_Dickite,2,-0.04434450793037317,0.4070350843666529,"['HRDH_1804', 'HRDH_1867']"
Log_SSD,Lab_XRF_Na,2,0.22097652353522496,0.40649760360974113,"['HRDH_1119', 'HRDH_697']"
Log_KTHC,Lab_XRD_Dickite,2,0.40602035170931194,0.40602035170931194,"['HRDH_1804', 'HRDH_1867']"
Log_KTH,Lab_XRF_Cl,2,0.4048603201898206,0.4048603201898206,"['HRDH_1119', 'HRDH_697']"
Log_SHR,Lab_XRF_Cl,2,-0.13334701060401888,0.40196409985652926,"['HRDH_1119', 'HRDH_697']"
Log_SSN,Lab_XRF_Sr,2,0.02679799946245931,0.40130337752390366,"['HRDH_1119', 'HRDH_697']"
Log_KTH,Lab_XRF_P,2,0.11109091438299318,0.4010372566443757,"['HRDH_1119', 'HRDH_697']"
Log_RTHUC,Lab_XRD_Quartz,2,-0.40052019485289836,0.40052019485289836,"['HRDH_1804', 'HRDH_1867']"
Log_SFT2,Lab_XRD_Anatase,2,-0.1500876288636273,0.40044804055787403,"['HRDH_1804', 'HRDH_1867']"
Log_SPD,Lab_XRD_Quartz,2,-0.02722856132227855,0.3971710640450091,"['HRDH_1119', 'HRDH_1804']"
Log_TH,Lab_XRF_K,2,-0.08603655507149993,0.3953469297074601,"['HRDH_1119', 'HRDH_697']"
Log_CNC,Lab_XRF_Fe,2,0.39512804125875256,0.39512804125875256,"['HRDH_1119', 'HRDH_697']"
Log_PE,Lab_XRF_Na,2,0.3933285418350429,0.3933285418350429,"['HRDH_1119', 'HRDH_697']"
Log_KTH,Lab_XRF_S,2,-0.3931721138800556,0.3931721138800556,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRD_Chlorite,2,-0.1139319504225377,0.39263425293187915,"['HRDH_1867', 'HRDH_697']"
Log_CNC,Lab_XRF_Al,2,0.3919502246781942,0.3919502246781942,"['HRDH_1119', 'HRDH_697']"
Log_CN,Lab_XRF_Fe,2,0.39165424269463633,0.39165424269463633,"['HRDH_1119', 'HRDH_697']"
Log_HRD1,Lab_XRD_Anatase,2,-0.1392344054483497,0.39131744008594754,"['HRDH_1804', 'HRDH_1867']"
Log_RTHK,Lab_XRF_Mg,2,-0.07570853301928201,0.38895165419604094,"['HRDH_1119', 'HRDH_697']"
Log_K,Lab_XRF_Fe,2,0.3883271317340975,0.3883271317340975,"['HRDH_1119', 'HRDH_697']"
Log_CN,Lab_XRF_Al,2,0.38829346948318355,0.38829346948318355,"['HRDH_1119', 'HRDH_697']"
Log_RUK,Lab_XRF_Si,2,0.21556088466838363,0.3862193793830918,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRF_P,2,-0.019183254084282397,0.3856463952211136,"['HRDH_1119', 'HRDH_697']"
Log_CAL,Lab_XRD_Quartz,2,-0.1243065484891207,0.3828313886090796,"['HRDH_1804', 'HRDH_1867']"
Log_RTHK,Lab_XRD_Quartz,2,0.3823061349301911,0.3823061349301911,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRF_Al,2,0.3808704806441744,0.3808704806441744,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRF_Ca,2,0.3796370817812964,0.3796370817812964,"['HRDH_1119', 'HRDH_697']"
Log_RTHK,Lab_XRF_K,2,-0.1363627387564862,0.37881339731816377,"['HRDH_1119', 'HRDH_697']"
